snapshot,season,week,team,name,pos,status,practice,source
2026-09-02,2026,,DEN,Caleb Lohner,TE,IR,,sleeper
2026-09-02,2026,,ARI,Joey Blount,DB,IR,,sleeper
2026-09-02,2026,,GB,Tucker Kraft,TE,Questionable,,sleeper
2026-09-02,2026,,NYG,Theo Johnson,TE,Questionable,,sleeper
2026-09-02,2026,,ATL,Billy Bowman,DB,Questionable,,sleeper
2026-09-02,2026,,LAC,Keaton Mitchell,RB,Questionable,,sleeper
2026-09-02,2026,,PIT,Donte Kent,CB,PUP,,sleeper
2026-09-02,2026,,NYJ,D'Angelo Ponds,DB,Questionable,,sleeper
2026-09-02,2026,,DET,Michael Niese,G,IR,,sleeper
2026-09-02,2026,,ATL,James Pearce,DL,Suspended,,sleeper
2026-09-02,2026,,BAL,Skylar Thompson,QB,IR,,sleeper
2026-09-02,2026,,HOU,British Brooks,RB,Questionable,,sleeper
2026-09-02,2026,,WAS,Laremy Tunsil,OL,IR,,sleeper
2026-09-02,2026,,CAR,Haynes King,QB,Questionable,,sleeper
2026-09-02,2026,,KC,Alohi Gilman,DB,Questionable,,sleeper
2026-09-02,2026,,SF,Mike Evans,WR,Questionable,,sleeper
2026-09-02,2026,,TEN,Donnie Ernsberger,TE,Questionable,,sleeper
2026-09-02,2026,,CHI,Nikola Kalinic,TE,IR,,sleeper
2026-09-02,2026,,DAL,Devin Moore,CB,IR,,sleeper
2026-09-02,2026,,MIA,Darrell Baker,CB,PUP,,sleeper
2026-09-02,2026,,JAX,Parker Hughes,LB,IR,,sleeper
2026-09-02,2026,,GB,Savion Williams,WR,IR,,sleeper
2026-09-02,2026,,KC,Trey Smith,OL,Questionable,,sleeper
2026-09-02,2026,,TEN,Joshua Williams,CB,IR,,sleeper
2026-09-02,2026,,TB,Mohamed Kamara,DL,IR,,sleeper
2026-09-02,2026,,SEA,Irv Charles,WR,IR,,sleeper
2026-09-02,2026,,MIN,Michael Jurgens,OL,IR,,sleeper
2026-09-02,2026,,WAS,Ben Sinnott,TE,Questionable,,sleeper
2026-09-02,2026,,NYJ,Nahshon Wright,CB,Questionable,,sleeper
2026-09-02,2026,,WAS,Jerome Ford,RB,Questionable,,sleeper
2026-09-02,2026,,SEA,Robbie Ouzts,RB,IR,,sleeper
2026-09-02,2026,,LAR,Puka Nacua,WR,Questionable,,sleeper
2026-09-02,2026,,HOU,Jake Hansen,LB,Questionable,,sleeper
2026-09-02,2026,,DET,Seth McLaughlin,OL,Questionable,,sleeper
2026-09-02,2026,,PHI,Markel Bell,OT,Questionable,,sleeper
2026-09-02,2026,,PIT,Brandin Echols,CB,Questionable,,sleeper
2026-09-02,2026,,NE,Marcus Bryant,OL,IR,,sleeper
2026-09-02,2026,,SF,De'Zhaun Stribling,WR,Questionable,,sleeper
2026-09-02,2026,,SF,Brayden Willis,TE,Questionable,,sleeper
2026-09-02,2026,,SF,Darrick Forrest,DB,IR,,sleeper
2026-09-02,2026,,NO,David Long,CB,IR,,sleeper
2026-09-02,2026,,SF,Renardo Green,DB,Questionable,,sleeper
2026-09-02,2026,,SF,Christian McCaffrey,RB,Questionable,,sleeper
2026-09-02,2026,,NYG,Gunner Olszewski,WR,IR,,sleeper
2026-09-02,2026,,LAR,Myles Garrett,DE,Questionable,,sleeper
2026-09-02,2026,,HOU,Wade Woodaz,LB,Questionable,,sleeper
2026-09-02,2026,,KC,Drue Tranquill,LB,Questionable,,sleeper
2026-09-02,2026,,BAL,Aeneas Peebles,DT,Questionable,,sleeper
2026-09-02,2026,,BAL,Bilhal Kone,CB,IR,,sleeper
2026-09-02,2026,,CAR,Chris Brazzell,WR,IR,,sleeper
2026-09-02,2026,,DAL,Jonathan Bullard,DE,Questionable,,sleeper
2026-09-02,2026,,HOU,Braden Smith,OL,IR,,sleeper
2026-09-02,2026,,SF,Romello Height,LB,Questionable,,sleeper
2026-09-02,2026,,ATL,Tyrone Wheatley,OL,Questionable,,sleeper
2026-09-02,2026,,IND,Alec Pierce,WR,Questionable,,sleeper
2026-09-02,2026,,SEA,Julian Neal,DB,Questionable,,sleeper
2026-09-02,2026,,KC,Ethan Downs,DE,IR,,sleeper
2026-09-02,2026,,NYG,Francis Mauigoa,OT,Questionable,,sleeper
2026-09-02,2026,,MIN,Jakobe Thomas,DB,Questionable,,sleeper
2026-09-02,2026,,CLE,Alex Wright,DL,IR,,sleeper
2026-09-02,2026,,CHI,Beanie Bishop,CB,Suspended,,sleeper
2026-09-02,2026,,IND,Sean McKeon,TE,Questionable,,sleeper
2026-09-02,2026,,WAS,Tim Settle,DT,Questionable,,sleeper
2026-09-02,2026,,TEN,Mitchell Trubisky,QB,Questionable,,sleeper
2026-09-02,2026,,WAS,Dorance Armstrong,DE,Suspended,,sleeper
2026-09-02,2026,,DET,Payton Turner,DE,IR,,sleeper
2026-09-02,2026,,NYJ,Chase Curtis,TE,IR,,sleeper
2026-09-02,2026,,WAS,Jacory Croskey-Merritt,RB,Questionable,,sleeper
2026-09-02,2026,,KC,L'Jarius Sneed,CB,Questionable,,sleeper
2026-09-02,2026,,CHI,Dallis Flowers,CB,IR,,sleeper
2026-09-02,2026,,MIN,J.J. McCarthy,QB,Questionable,,sleeper
2026-09-02,2026,,NYJ,Anez Cooper,G,IR,,sleeper
2026-09-02,2026,,GB,Javon Bullard,DB,Questionable,,sleeper
